student_id,gender,age,study_hours_per_day,attendance_percentage,previous_exam_score,sleep_hours,screen_time_hours,extracurricular_activities,parental_education,internet_access,study_group,tutoring,final_exam_score
STU1000,Female,17,5.6,96.8,54.9,4.1,5.1,No,High School,Yes,No,No,68.2
STU1001,Male,15,4.2,91.1,62.8,5.6,0.0,Yes,Bachelors,Yes,No,No,82.2
STU1002,Female,18,5.9,80.7,53.1,6.2,6.5,No,High School,Yes,No,Yes,67.3
STU1003,Female,17,7.9,72.2,60.4,9.4,2.7,No,High School,Yes,Yes,No,77.3
STU1004,Male,16,4.0,88.4,36.6,7.6,5.2,No,High School,Yes,No,Yes,71.0
STU1005,Female,16,4.0,84.7,68.2,4.9,5.3,Yes,Bachelors,Yes,No,No,70.1
STU1006,Male,18,8.0,90.7,65.0,7.5,2.4,No,Bachelors,Yes,No,No,93.8
STU1007,Male,15,6.2,87.6,52.7,4.6,5.2,Yes,Bachelors,Yes,No,No,81.4
STU1008,Female,17,3.5,92.6,74.9,8.3,3.3,Yes,Bachelors,Yes,No,No,84.9
STU1009,Male,17,5.7,73.6,79.1,6.1,0.3,Yes,PhD,Yes,Yes,No,94.1
STU1010,Male,18,3.5,95.8,40.9,,6.1,No,Bachelors,Yes,Yes,Yes,70.3
STU1011,Male,15,3.5,82.4,53.6,8.7,2.6,Yes,High School,Yes,Yes,No,81.8
STU1012,Male,17,5.0,100.0,53.5,5.0,2.5,Yes,High School,Yes,No,Yes,76.2
STU1013,Female,18,0.3,71.7,50.9,4.8,3.3,No,Bachelors,Yes,No,No,52.9
STU1014,Male,17,0.7,100.0,77.4,6.0,4.5,No,Masters,Yes,No,No,68.7
STU1015,Female,16,3.3,82.4,62.1,8.3,3.9,Yes,High School,Yes,No,No,73.2
STU1016,Female,17,2.3,72.2,61.0,4.7,5.0,No,Masters,Yes,Yes,No,66.9
STU1017,Male,17,5.2,74.2,34.9,3.0,1.6,Yes,High School,Yes,No,No,56.2
